school_name,student_id,grade,term_code,bellPeriod1_absences,bellPeriod2_absences,bellPeriod3_absences,bellPeriod4_absences,bellPeriod5_absences,bellPeriod6_absences,total_absences,bellPeriod1_markbook_mark,bellPeriod2_markbook_mark,bellPeriod3_markbook_mark,bellPeriod4_markbook_mark,bellPeriod5_markbook_mark,bellPeriod6_markbook_mark
South High School,O367UM7NJ,10,Semester 2 Final,10,7,6,5,6,5,39,D,D,D,D,C,C
South High School,0FEM86S8S,10,Semester 2 Final,20,17,12,10,23,23,105,C,B,B,B,B,D
South High School,E50DU3CT0,10,Semester 2 Final,15,18,19,20,21,20,113,B,B,B,C,B,A
South High School,ES585UMH0,10,Semester 2 Final,34,44,42,32,52,61,265,A,F,F,,D,F
South High School,33PCS0HJ7,10,Semester 2 Final,10,6,9,8,13,9,55,C,D,D,D,D,D
South High School,2P325XWUA,10,Semester 2 Final,36,13,15,13,11,12,100,A,D,B,F,F,A
South High School,GM4Z9V8F6,10,Semester 2 Final,63,26,57,24,34,30,234,D,D,D,F,F,C
South High School,I7X2N9F6E,10,Semester 2 Final,89,50,36,35,38,42,290,F,D,F,F,F,F
South High School,ZZ66FRG53,10,Semester 2 Final,17,9,9,13,11,11,70,A,A,A,A,A,A
South High School,W5B4M1EP9,10,Semester 2 Final,12,14,17,19,46,34,142,D,C,D,C,F,D
South High School,22TYX8ZT0,10,Semester 2 Final,64,8,12,15,12,18,129,C,C,C,D,D,C
South High School,YX89GW7P4,10,Semester 2 Final,73,23,19,18,23,20,176,A,B,B,B,A,B
South High School,LJ20O6I6A,10,Semester 2 Final,19,6,3,9,19,9,65,B,F,D,C,D,F
South High School,89EKZB0D4,10,Semester 2 Final,12,13,9,16,10,11,71,B,B,A,A,B,B
South High School,NNM7P610N,10,Semester 2 Final,68,49,33,26,19,17,212,F,F,B,D,D,F
South High School,21KUB3U6N,10,Semester 2 Final,15,7,5,7,7,6,47,F,C,A,C,D,D
South High School,Y7O1NTC27,10,Semester 2 Final,11,6,5,3,7,20,52,A,A,A,B,A,B
South High School,E42JF8FC2,10,Semester 2 Final,58,47,50,38,39,41,273,F,F,F,F,F,C
South High School,WIO7O433U,10,Semester 2 Final,38,8,4,7,10,11,78,D,B,F,C,D,C
South High School,YVK15TO27,10,Semester 2 Final,16,6,6,4,5,4,41,B,B,A,A,A,A
South High School,D67BK1T5F,10,Semester 2 Final,16,3,1,2,4,3,29,D,C,B,C,D,B
South High School,378TGA8CD,10,Semester 2 Final,45,38,34,48,31,46,242,D,F,C,C,D,D
South High School,8K34JG0ET,10,Semester 2 Final,44,29,31,32,33,32,201,D,D,D,C,D,D
South High School,0Z199NHTP,10,Semester 2 Final,29,16,8,44,12,16,125,B,D,B,D,A,A
South High School,T0E6TJ07X,10,Semester 2 Final,36,34,22,27,26,31,176,D,C,D,C,B,D
South High School,TIMUO9641,10,Semester 2 Final,36,47,56,55,16,22,232,F,F,F,F,F,D
South High School,B0VYUY188,10,Semester 2 Final,6,9,9,11,11,10,56,A,B,A,A,A,B
South High School,85JGFC46C,10,Semester 2 Final,21,15,15,15,18,17,101,C,C,C,D,D,C
South High School,O94FFG1I6,10,Semester 2 Final,10,13,11,12,11,19,76,A,A,A,A,A,B
South High School,9ENY3AV85,10,Semester 2 Final,9,9,8,10,11,9,56,C,D,D,D,A,C
South High School,8HYE19IO5,10,Semester 2 Final,58,37,29,24,25,25,198,F,C,C,D,F,F
South High School,71W5HOHG0,10,Semester 2 Final,19,4,6,2,3,13,47,C,C,C,C,A,A
South High School,XBSWI8989,10,Semester 2 Final,64,29,28,37,36,29,223,A,C,B,C,C,B
South High School,4KQJ678NU,10,Semester 2 Final,37,5,7,10,25,4,88,D,D,B,D,B,D
South High School,4IU4C2T4O,10,Semester 2 Final,63,29,38,37,30,73,270,F,D,F,F,C,F
South High School,MLD665T8R,10,Semester 2 Final,20,17,15,25,29,32,138,B,A,A,C,A,A
South High School,MC1F1N9S9,10,Semester 2 Final,12,16,12,9,6,7,62,F,C,D,D,C,D
South High School,C492NUM5Q,10,Semester 2 Final,10,10,16,17,14,19,86,A,A,A,A,A,B
South High School,59QFZ56JO,10,Semester 2 Final,27,17,15,14,19,17,109,B,A,B,A,B,B
South High School,418EOIG7X,10,Semester 2 Final,16,20,23,22,16,14,111,A,B,B,B,A,B
South High School,GQC95JT23,10,Semester 2 Final,18,8,25,9,15,19,94,A,A,C,B,D,D
South High School,S78K55IVV,10,Semester 2 Final,9,9,34,31,12,14,109,D,B,B,A,B,B
South High School,RJ2D03L2D,10,Semester 2 Final,33,25,13,15,36,28,150,D,C,C,C,C,
South High School,Q4F7OM72A,10,Semester 2 Final,27,12,7,8,7,8,69,A,B,C,A,B,C
South High School,S79PB1H5Y,10,Semester 2 Final,8,7,6,6,4,9,40,A,A,A,A,A,A
South High School,T38EMRE70,10,Semester 2 Final,13,15,12,11,13,24,88,A,A,A,A,A,A
South High School,EG066S9FK,10,Semester 2 Final,8,10,6,13,9,15,61,A,A,B,B,A,A
South High School,A4S9XW2D6,10,Semester 2 Final,5,8,5,17,13,11,59,A,A,A,A,A,A
South High School,C2HG927SM,10,Semester 2 Final,14,15,13,14,15,17,88,A,A,A,A,A,B
South High School,0ON3YH13H,10,Semester 2 Final,6,4,8,12,3,10,43,D,D,A,A,F,D
South High School,2E9BY4Q9Q,10,Semester 2 Final,5,4,3,3,3,2,20,B,A,C,B,C,B
South High School,69K5NOKI7,10,Semester 2 Final,24,22,20,34,24,28,152,A,A,A,C,A,A
South High School,74JH4L6KQ,10,Semester 2 Final,25,21,11,20,12,25,114,A,C,A,A,B,A
South High School,13LL2RG6X,10,Semester 2 Final,21,19,17,23,16,18,114,B,D,A,A,C,B
South High School,LRB85KF68,10,Semester 2 Final,35,22,24,25,18,32,156,C,D,D,B,D,D
South High School,LL5W7HC89,10,Semester 2 Final,22,21,30,28,21,22,144,B,A,C,C,B,B
South High School,T0X19KCH0,10,Semester 2 Final,48,31,28,26,33,32,198,F,D,B,B,F,F
South High School,L3G6A92SD,10,Semester 2 Final,12,5,11,8,9,14,59,C,A,A,A,F,C
South High School,NO5WIW872,10,Semester 2 Final,28,20,18,15,16,18,115,D,C,C,A,D,D
South High School,Q0ZRB5A94,10,Semester 2 Final,38,28,28,28,22,26,170,A,D,B,,,D
South High School,RF0Q35Z1X,10,Semester 2 Final,13,15,15,13,11,13,80,A,A,A,B,A,A
South High School,WSM7I3H82,10,Semester 2 Final,51,20,17,19,23,25,155,C,B,C,C,D,D
South High School,7Z9B2VR4T,10,Semester 2 Final,10,12,14,8,6,14,64,C,C,D,,C,D
South High School,T70O6SIS7,10,Semester 2 Final,15,11,19,15,13,24,97,A,A,B,B,B,A
South High School,3PX665DGS,10,Semester 2 Final,4,3,8,10,8,9,42,D,B,A,C,C,C
South High School,U22M5UR0B,10,Semester 2 Final,16,14,16,17,15,17,95,C,C,B,A,B,B
South High School,XH68C7K0J,10,Semester 2 Final,49,38,22,13,16,29,167,F,D,B,B,B,D
South High School,5Z8WOV98X,10,Semester 2 Final,23,27,18,19,42,18,147,D,F,D,C,F,F
South High School,KQ3B1L76O,10,Semester 2 Final,19,13,12,15,10,18,87,A,A,A,A,A,A
South High School,GGF2X244K,10,Semester 2 Final,30,9,5,10,14,9,77,C,C,C,C,A,D
South High School,SX586A1JC,10,Semester 2 Final,4,5,3,12,8,3,35,A,B,B,C,B,A
South High School,07G0DVZ0W,10,Semester 2 Final,31,30,44,28,40,32,205,C,D,A,A,C,C
South High School,J2SB29KP6,10,Semester 2 Final,34,29,31,32,32,11,169,D,D,F,F,F,D
South High School,5E7VWU51I,10,Semester 2 Final,30,27,31,34,22,27,171,C,D,C,F,F,F
South High School,9O5EVH34A,10,Semester 2 Final,44,30,30,29,40,26,199,B,C,C,B,B,B
South High School,I54BLD42D,10,Semester 2 Final,34,4,6,10,12,14,80,F,,D,D,C,B
South High School,AA9633XAH,10,Semester 2 Final,70,64,61,61,60,60,376,F,B,C,C,C,C
South High School,K83G42KMT,10,Semester 2 Final,46,33,46,40,31,33,229,C,C,B,D,B,B
South High School,100ZOH7DT,10,Semester 2 Final,10,6,5,7,5,6,39,A,C,D,D,D,C
South High School,08URHSN34,10,Semester 2 Final,34,33,45,45,23,55,235,,,C,F,,
South High School,2KP1JP0R3,10,Semester 2 Final,21,22,20,21,16,19,119,B,D,A,A,B,B
South High School,3FT61DY4Z,10,Semester 2 Final,20,12,8,22,14,19,95,B,B,C,B,B,A
South High School,1D9TK3WD5,10,Semester 2 Final,41,40,31,31,31,37,211,C,B,D,B,B,A
South High School,O32NAQ59I,10,Semester 2 Final,40,34,23,18,19,26,160,,F,F,F,D,F
South High School,0J8W96XXB,10,Semester 2 Final,6,7,4,4,4,3,28,A,D,A,C,B,C
South High School,S1SV0G79T,10,Semester 2 Final,26,36,17,22,19,34,154,C,F,C,B,D,D
South High School,84G5YCGW6,10,Semester 2 Final,57,57,36,33,36,48,267,D,F,D,F,D,F
South High School,72MF8HM9C,10,Semester 2 Final,34,11,10,11,10,13,89,D,A,B,B,D,F
South High School,AB0T5U25Q,10,Semester 2 Final,45,41,23,20,19,18,166,C,D,C,C,C,C
South High School,9E84G4HDG,10,Semester 2 Final,32,28,28,25,27,27,167,D,C,B,D,C,B
South High School,2N6D2NPG3,10,Semester 2 Final,44,46,46,50,53,54,293,D,F,F,B,D,D
South High School,2V9ERC39W,10,Semester 2 Final,37,10,11,11,39,15,123,F,A,D,C,D,F
South High School,KQ3U80WD5,10,Semester 2 Final,10,9,7,7,10,11,54,A,A,A,A,A,B
South High School,ZU090HE4K,10,Semester 2 Final,30,24,28,43,19,27,171,D,D,C,F,D,F
South High School,8VFQ34TB9,10,Semester 2 Final,10,6,8,7,7,7,45,B,D,B,C,B,B
South High School,8II82MFX4,10,Semester 2 Final,9,7,7,9,10,13,55,A,A,A,B,B,D
South High School,64S6KY9JL,10,Semester 2 Final,17,17,14,13,24,18,103,F,C,B,B,D,F
South High School,X3E130FDB,10,Semester 2 Final,7,13,10,8,12,12,62,D,C,D,C,D,D
South High School,FM60C77YW,10,Semester 2 Final,5,6,0,7,0,8,26,A,A,,A,,A
South High School,NQW6267UI,10,Semester 2 Final,13,10,12,17,18,14,84,B,B,C,C,D,A
South High School,BD041UV9B,10,Semester 2 Final,6,5,5,2,4,7,29,B,B,B,B,A,B
South High School,7EZ91E5YL,10,Semester 2 Final,7,6,13,12,11,14,63,A,A,A,A,A,A
South High School,R3U5X98BQ,10,Semester 2 Final,16,15,11,10,7,9,68,F,D,A,D,D,B
South High School,11HTW48NT,10,Semester 2 Final,9,16,13,11,12,11,72,C,,F,,B,D
South High School,N9QR36UF9,10,Semester 2 Final,2,0,0,1,2,4,9,A,A,B,A,C,C
South High School,BQ2HD5S48,10,Semester 2 Final,61,18,18,21,19,17,154,A,D,D,D,B,D
South High School,2NHAM37W7,10,Semester 2 Final,24,10,35,25,30,28,152,C,C,B,C,D,C
South High School,A1GF57G4Q,10,Semester 2 Final,11,7,17,9,9,9,62,A,B,F,A,B,C
South High School,8WHXC6X56,10,Semester 2 Final,4,4,12,28,5,7,60,C,,B,,F,D
South High School,ZIUJ41X13,10,Semester 2 Final,47,10,13,7,6,9,92,A,C,A,B,C,C
South High School,67ZR32DGW,10,Semester 2 Final,23,23,24,22,27,31,150,A,B,C,B,C,D
South High School,MD47J3OC2,10,Semester 2 Final,29,18,16,15,10,8,96,C,A,C,B,B,B
South High School,79DNNUP68,10,Semester 2 Final,17,11,10,12,10,11,71,C,B,B,C,C,C
South High School,MY116CI6B,10,Semester 2 Final,5,4,5,5,5,5,29,A,A,A,A,A,A
South High School,FE80Q1Q0B,10,Semester 2 Final,1,3,1,3,3,2,13,A,B,C,D,B,D
South High School,15WSP1WY9,10,Semester 2 Final,13,11,9,15,13,13,74,F,A,B,C,C,D
South High School,5S4TUC00P,10,Semester 2 Final,22,14,13,17,16,17,99,D,C,F,D,F,D
South High School,1Q82YPHY0,10,Semester 2 Final,10,9,12,10,9,9,59,D,A,D,F,F,D
South High School,I6AMR45C8,10,Semester 2 Final,16,16,16,17,17,18,100,A,D,B,B,A,B
South High School,37BZBT17R,10,Semester 2 Final,10,8,13,12,11,10,64,A,C,F,C,B,A
South High School,984XQ9PSY,10,Semester 2 Final,3,3,3,7,3,4,23,,B,B,B,A,D
South High School,R471NN4QG,10,Semester 2 Final,2,1,4,3,2,3,15,D,A,A,A,A,F
South High School,924OX3HYN,11,Semester 1 Final,31,32,34,46,44,47,234,C,A,D,D,A,A
South High School,KU94VC4P2,11,Semester 1 Final,16,16,14,13,15,17,91,B,A,B,B,B,C
South High School,HW7S4J4R1,11,Semester 1 Final,13,23,13,15,12,12,88,B,A,A,A,A,A
South High School,W03P7WD9C,11,Semester 1 Final,20,14,15,11,16,11,87,A,B,A,A,B,A
South High School,K3TDY40E2,11,Semester 1 Final,14,4,3,11,8,15,55,C,B,A,B,B,A
South High School,TVEW5N138,11,Semester 1 Final,9,9,11,21,17,16,83,A,A,A,A,A,A
South High School,DH25GU10F,11,Semester 1 Final,3,8,10,8,5,6,40,A,A,B,A,C,B
South High School,N84JGW5J1,11,Semester 1 Final,27,15,19,24,28,53,166,A,B,A,B,A,C
South High School,L7FNT80X8,11,Semester 1 Final,3,3,4,6,5,10,31,A,A,A,A,A,A
South High School,AD1NS9T29,11,Semester 1 Final,6,7,11,3,8,8,43,A,B,A,A,C,A
South High School,O22UT1GQ3,11,Semester 1 Final,48,31,22,23,34,35,193,C,B,A,B,C,B
South High School,KG8OS382N,11,Semester 1 Final,3,9,9,8,8,14,51,A,A,A,A,A,A
South High School,Q1D4G1DA0,11,Semester 1 Final,32,14,13,15,30,39,143,B,B,D,A,C,F
South High School,844KF3TFY,11,Semester 1 Final,1,0,0,2,2,2,7,A,A,A,B,B,B
South High School,O2WS36I2X,11,Semester 1 Final,6,3,2,5,2,25,43,C,B,C,C,A,D
South High School,30FSO98QS,11,Semester 1 Final,38,16,12,12,12,25,115,C,A,A,A,B,B
South High School,4YZT2FR24,11,Semester 1 Final,7,5,5,6,5,11,39,A,B,A,A,A,A
South High School,C0033JIWH,11,Semester 1 Final,15,6,7,8,9,10,55,C,C,B,C,C,C
South High School,VNH1065VE,11,Semester 1 Final,5,2,5,4,9,22,47,A,B,C,A,D,C
South High School,909H0YQMC,11,Semester 1 Final,14,10,10,19,9,8,70,A,B,A,B,A,A
South High School,TH008TYI1,11,Semester 1 Final,13,7,3,1,3,9,36,D,C,C,A,B,B
South High School,R15Q02IOH,11,Semester 1 Final,9,7,10,8,8,12,54,A,A,,A,A,A
South High School,3TYF6I12I,11,Semester 1 Final,4,4,7,5,0,0,20,A,,A,A,,
South High School,W3KMJ8C93,11,Semester 1 Final,5,3,4,3,5,7,27,A,B,B,B,A,B
South High School,LH709Q3DK,11,Semester 1 Final,16,15,17,16,16,18,98,A,B,A,A,A,C
South High School,5ALZSP132,11,Semester 1 Final,18,16,17,16,15,16,98,B,A,A,A,B,A
South High School,5CCS77Z8L,11,Semester 1 Final,12,12,12,11,11,8,66,A,A,A,A,A,A
South High School,A8V5V5FL6,11,Semester 1 Final,16,11,12,10,11,18,78,A,B,B,C,C,A
South High School,0TNL16ZO7,11,Semester 1 Final,34,13,10,17,11,12,97,B,B,A,A,A,A
South High School,6BRTO422A,11,Semester 1 Final,7,5,8,8,10,9,47,A,,B,A,C,D
South High School,E0L9TDC48,11,Semester 1 Final,17,18,13,12,16,17,93,A,A,A,A,A,B
South High School,08MZ7OUF3,11,Semester 1 Final,9,12,9,11,7,29,77,A,A,A,A,A,A
South High School,41DP4RW1F,11,Semester 1 Final,6,3,0,2,3,18,32,C,C,A,B,B,C
South High School,S999BLBR6,11,Semester 1 Final,30,37,25,22,33,0,147,D,D,C,C,D,
South High School,8BR92BPJ7,11,Semester 1 Final,10,4,5,5,5,6,35,A,C,A,A,A,B
South High School,Y2F7X6M9H,11,Semester 1 Final,48,11,11,20,9,13,112,A,A,B,A,A,A
South High School,L69JGJ11K,11,Semester 1 Final,15,40,20,14,11,10,110,A,C,C,B,C,A
South High School,4CS1C8D4C,11,Semester 1 Final,14,10,16,12,13,17,82,A,A,A,A,A,A
South High School,2TYXD497B,11,Semester 1 Final,9,11,8,13,11,14,66,A,A,A,B,A,A
South High School,J0Y4L9P5K,11,Semester 1 Final,7,6,5,4,3,0,25,A,A,A,A,A,
South High School,2K5T57FEB,11,Semester 1 Final,5,3,3,3,2,2,18,A,A,A,A,A,A
South High School,5LAZCS913,11,Semester 1 Final,3,2,3,3,5,4,20,B,A,A,B,A,A
South High School,APV9JJ400,11,Semester 1 Final,7,6,5,4,3,7,32,A,A,A,A,A,A
South High School,VV7JW40Z8,11,Semester 1 Final,4,1,1,1,2,4,13,C,A,B,C,A,C
South High School,7OB5KL63W,11,Semester 1 Final,26,28,28,25,29,36,172,B,B,C,A,A,B
South High School,ZTB61SE13,11,Semester 1 Final,35,15,2,10,10,25,97,A,A,A,A,A,B
South High School,96LZWU19O,11,Semester 1 Final,14,18,15,21,15,15,98,B,B,C,B,A,D
South High School,HSQDT3488,11,Semester 1 Final,42,23,18,14,14,29,140,C,D,A,A,A,A
South High School,6PO9O9NI6,11,Semester 1 Final,16,4,4,7,11,11,53,B,C,C,C,B,B
South High School,KSV9D725I,11,Semester 1 Final,18,12,19,13,17,20,99,C,C,D,D,D,F
South High School,8QBVO744F,11,Semester 1 Final,36,18,14,27,15,19,129,C,D,B,D,A,C
South High School,U30SD06FT,11,Semester 1 Final,4,4,4,3,4,8,27,A,B,B,B,B,A
South High School,S1JF7C61T,11,Semester 1 Final,7,20,7,4,35,21,94,B,C,C,C,C,D
South High School,22D2F2DDM,11,Semester 1 Final,18,19,9,9,14,13,82,D,C,B,B,B,B
South High School,Z026HHS3N,11,Semester 1 Final,27,20,21,20,18,24,130,B,A,A,A,A,A
South High School,KT2Y6N72N,11,Semester 1 Final,2,3,3,3,3,1,15,B,B,B,A,A,C
South High School,SM70EI2M9,11,Semester 1 Final,7,12,7,8,11,11,56,C,A,A,C,B,B
South High School,XD3ZV5Q28,11,Semester 1 Final,9,10,9,10,9,11,58,B,A,B,A,B,A
South High School,914H2IVBE,11,Semester 1 Final,10,7,7,9,12,14,59,F,D,B,D,F,C
South High School,XUF377IO3,11,Semester 1 Final,41,19,29,18,17,21,145,A,A,C,C,C,B
South High School,CVU023LQ1,11,Semester 1 Final,19,9,13,8,12,16,77,B,A,A,A,A,A
South High School,4U2V5AJS5,11,Semester 1 Final,3,2,2,2,1,1,11,C,A,A,B,,B
South High School,B5K2QDU70,11,Semester 1 Final,10,7,3,20,21,16,77,B,A,B,B,C,B
South High School,W8HZ5RI10,11,Semester 1 Final,3,5,3,6,17,3,37,A,C,A,D,D,A
South High School,63J6OWJ1T,11,Semester 1 Final,16,10,12,5,14,9,66,B,B,C,C,C,D
South High School,6HQ3V1TB1,11,Semester 1 Final,26,27,21,20,5,12,111,B,D,C,C,B,C
South High School,JVL01E4V5,11,Semester 1 Final,38,18,19,20,19,22,136,B,B,B,B,C,B
South High School,68XBZ93DK,11,Semester 1 Final,5,10,8,9,11,15,58,A,C,A,A,C,B
South High School,NN1W4X09I,11,Semester 1 Final,11,12,11,12,13,10,69,A,B,D,C,A,B
South High School,42PW2ZU5T,11,Semester 1 Final,8,7,7,9,14,9,54,B,B,A,B,C,C
South High School,8FDY40J3C,11,Semester 1 Final,63,38,10,15,25,16,167,B,D,C,D,F,C
South High School,R79Z3M3ZQ,11,Semester 1 Final,14,13,14,13,9,16,79,C,D,C,D,D,C
South High School,VC9M607KR,11,Semester 1 Final,1,1,1,1,2,1,7,B,B,A,B,B,A
South High School,KC84Y42EY,11,Semester 1 Final,5,7,7,12,7,6,44,A,A,C,C,C,A
South High School,1GEJ27H5E,11,Semester 1 Final,24,16,9,16,11,13,89,D,F,C,A,C,D
South High School,2L1DIZS75,11,Semester 1 Final,25,22,23,22,25,26,143,B,C,B,A,C,C
South High School,64SY78BQY,11,Semester 1 Final,15,18,15,16,18,20,102,A,C,A,B,A,A
South High School,YR2MR39P2,11,Semester 1 Final,49,47,47,47,47,48,285,B,C,C,A,A,C
South High School,LGK4B486H,11,Semester 1 Final,0,0,1,2,1,0,4,A,B,B,A,A,A
South High School,0N8D5LX8C,11,Semester 1 Final,20,17,21,19,20,24,121,B,A,A,A,A,B
South High School,9C6D4USK1,11,Semester 1 Final,6,8,32,9,4,1,60,A,A,A,A,A,A
South High School,L2MPV440E,11,Semester 1 Final,14,16,15,16,11,12,84,C,B,A,C,A,A
South High School,00N1PQD0W,11,Semester 1 Final,8,7,7,6,8,11,47,A,,A,A,A,A
South High School,H33NK33WW,11,Semester 1 Final,41,25,13,15,22,30,146,B,C,A,B,A,D
South High School,CCF26Z27D,11,Semester 1 Final,6,11,13,9,11,11,61,A,A,B,B,A,A
South High School,R1IW0CZ42,11,Semester 1 Final,11,11,17,12,12,16,79,B,A,A,A,A,B
South High School,RXPT7940P,11,Semester 1 Final,7,6,5,5,5,5,33,A,A,A,B,B,A
South High School,Q067DY6WM,11,Semester 1 Final,2,2,2,2,1,2,11,A,B,A,B,B,A
South High School,XWO3V52Z6,11,Semester 1 Final,2,2,1,4,5,1,15,C,A,A,C,D,C
South High School,KD831RWP8,11,Semester 1 Final,29,23,24,33,12,39,160,B,F,F,C,A,D
South High School,3MLA40C4T,11,Semester 1 Final,36,26,16,15,17,17,127,C,B,A,A,A,B
South High School,B5WZD94X2,11,Semester 1 Final,7,6,5,4,5,3,30,A,D,B,B,B,C
South High School,940BL3SPL,11,Semester 1 Final,58,43,35,43,33,37,249,F,D,F,F,D,D
South High School,05IRT5AM6,11,Semester 1 Final,12,7,4,7,9,0,39,B,B,C,D,B,
South High School,B80FGAM16,11,Semester 1 Final,4,6,7,7,9,4,37,B,B,A,B,C,C
South High School,N5OSR44N4,11,Semester 1 Final,6,3,4,4,6,6,29,B,A,A,C,C,A
South High School,1P4Z4JUT3,11,Semester 1 Final,45,7,8,9,9,40,118,B,A,B,B,B,C
South High School,I63WDP60Z,11,Semester 1 Final,36,18,32,20,23,64,193,C,B,D,F,D,C
South High School,U6JC17MA3,11,Semester 1 Final,21,10,9,10,18,20,88,D,D,B,A,B,A
South High School,V8M3FI79G,11,Semester 1 Final,22,20,16,18,22,25,123,D,D,C,B,B,D
South High School,FS1R727VF,11,Semester 1 Final,0,0,1,3,0,0,4,A,A,A,A,B,B
South High School,49PHJ7HR3,11,Semester 1 Final,1,19,1,21,3,3,48,C,D,C,C,A,B
South High School,GGMU92O01,11,Semester 1 Final,22,16,17,17,17,14,103,C,B,C,B,F,C
South High School,EL91Z7OZ7,11,Semester 1 Final,14,14,16,15,16,16,91,A,B,D,C,D,A
South High School,MBM87I32R,11,Semester 1 Final,4,11,10,13,12,13,63,A,A,A,A,B,A
South High School,59ZLH0PW7,11,Semester 1 Final,6,4,5,5,3,4,27,B,B,C,C,C,B
South High School,15I9J4UXI,11,Semester 1 Final,6,7,7,8,8,7,43,B,B,B,B,D,A
South High School,IP305A5TW,11,Semester 1 Final,4,4,5,5,4,4,26,C,A,D,D,B,F
South High School,4NFIL380J,11,Semester 1 Final,13,13,12,7,7,9,61,C,A,,B,C,B
South High School,29W1MQGI1,11,Semester 1 Final,41,47,29,33,11,45,206,D,F,C,A,C,B
South High School,OJQY9375Y,11,Semester 1 Final,15,11,12,14,14,16,82,A,A,A,A,A,A
South High School,J7N3VRJ52,11,Semester 1 Final,41,11,7,8,12,27,106,A,A,,A,C,B
South High School,H6LJ74L9N,11,Semester 1 Final,16,20,12,7,12,10,77,C,B,C,,B,A
South High School,XPIKV0972,11,Semester 1 Final,20,19,13,12,11,9,84,C,B,B,C,F,F
South High School,64RQM9BB9,11,Semester 1 Final,9,5,7,6,6,7,40,B,B,A,B,C,D
South High School,10DJF4Z0P,11,Semester 1 Final,25,28,26,25,30,41,175,D,A,B,A,C,D
South High School,A468L6NXU,11,Semester 1 Final,46,20,25,26,30,62,209,A,A,A,A,A,C
South High School,77WT0KD0A,11,Semester 1 Final,7,6,2,7,6,25,53,A,A,A,A,B,A
South High School,W2P3V1D2Z,11,Semester 1 Final,38,33,28,22,32,30,183,B,A,B,B,F,C
South High School,70O6VL9CS,11,Semester 1 Final,10,16,16,14,15,15,86,A,A,A,A,A,A
South High School,9VQ18G4XQ,11,Semester 1 Final,8,8,5,6,5,5,37,B,C,B,C,A,D
South High School,F72K0SMY8,11,Semester 1 Final,26,11,8,6,5,5,61,F,F,C,F,F,F
South High School,GB6U2Y1I6,11,Semester 1 Final,52,32,20,15,15,7,141,C,F,D,D,F,C
South High School,U1CB00ZU5,11,Semester 1 Final,16,8,4,5,12,17,62,D,C,C,A,C,C
South High School,YV2LU3I80,11,Semester 1 Final,7,4,32,2,4,9,58,F,F,F,C,D,C
South High School,4O27SHPK2,11,Semester 1 Final,7,7,7,9,7,10,47,A,A,A,A,A,A
South High School,75DY7ML5W,11,Semester 1 Final,28,20,20,17,26,0,111,D,A,D,D,C,
South High School,E3KP820OF,11,Semester 1 Final,6,20,5,8,0,4,43,A,A,A,C,A,A
South High School,7H6ZDMN02,11,Semester 1 Final,49,36,33,34,37,49,238,C,C,F,D,A,D
South High School,P8Z7FUK45,11,Semester 1 Final,2,1,7,1,0,0,11,A,A,A,A,A,A
South High School,3L79YGLI0,11,Semester 1 Final,8,7,8,6,6,11,46,A,B,A,A,A,D
South High School,7ROG76AA3,11,Semester 1 Final,5,7,5,9,5,14,45,C,A,D,C,C,C
South High School,ASJ54P62H,11,Semester 1 Final,10,5,4,6,3,9,37,A,A,A,A,A,A
South High School,A1S8U1UX1,11,Semester 1 Final,67,53,47,35,39,42,283,F,F,F,F,F,D
South High School,23I7MJXI3,11,Semester 1 Final,9,10,8,9,7,7,50,A,C,B,B,B,B
South High School,RX4D97BE6,11,Semester 1 Final,10,11,19,5,10,13,68,D,A,C,A,D,C
South High School,H5M25GSM9,11,Semester 1 Final,4,7,6,3,5,4,29,A,A,A,A,A,A
South High School,IA614F7RB,11,Semester 1 Final,7,7,7,9,8,14,52,A,A,A,C,C,B
South High School,U0981XXWH,11,Semester 1 Final,33,14,3,13,12,24,99,F,C,B,B,D,A
South High School,UT01PM96R,11,Semester 1 Final,15,12,11,10,12,18,78,B,B,B,A,B,A
South High School,C5O787NIW,11,Semester 1 Final,67,36,14,7,22,7,153,B,A,A,,B,A
South High School,IIS8631JZ,11,Semester 1 Final,23,23,21,22,22,25,136,A,A,A,C,C,C
South High School,I24JBNJ47,11,Semester 1 Final,35,18,29,26,40,25,173,F,C,B,B,D,D
South High School,JV516PIR4,11,Semester 1 Final,42,26,24,18,16,42,168,B,B,B,B,D,D
South High School,SWG0S45X0,11,Semester 1 Final,9,11,9,10,9,9,57,A,A,A,A,A,A
South High School,3KGYF62G6,11,Semester 1 Final,22,4,4,5,5,5,45,D,B,D,C,B,C
South High School,RL43OSR98,11,Semester 1 Final,6,4,21,5,2,8,46,A,A,B,A,A,C
South High School,R4466JPTC,11,Semester 1 Final,5,4,5,5,7,7,33,A,A,,A,B,A
South High School,9DDB725ZC,11,Semester 1 Final,20,25,21,20,24,17,127,C,A,A,D,B,D
South High School,4U14AF3CD,11,Semester 1 Final,12,5,9,7,8,9,50,B,D,D,D,D,C
South High School,1U5IBNZ17,11,Semester 1 Final,14,9,9,7,13,9,61,B,F,F,D,F,C
South High School,57ECJ2ZP0,11,Semester 1 Final,23,7,1,4,3,5,43,A,B,A,A,B,B
South High School,Z33D7AQ4U,11,Semester 1 Final,58,59,53,48,41,43,302,D,D,C,D,F,C
South High School,39T0S2XNA,11,Semester 1 Final,9,9,19,10,10,13,70,A,A,B,A,A,B
