school_name,student_id,grade,term_code,bellPeriod1_absences,bellPeriod2_absences,bellPeriod3_absences,bellPeriod4_absences,bellPeriod5_absences,bellPeriod6_absences,total_absences,bellPeriod1_markbook_mark,bellPeriod2_markbook_mark,bellPeriod3_markbook_mark,bellPeriod4_markbook_mark,bellPeriod5_markbook_mark,bellPeriod6_markbook_mark
West High School,609E4TRVB,9,Semester 1 Final,20,4,5,5,6,5,45,B,B,D,C,F,C
West High School,I5VP74Z5L,9,Semester 1 Final,26,23,15,10,16,13,103,D,B,B,B,A,C
West High School,5HW4SQ40X,9,Semester 1 Final,4,3,5,3,3,6,24,A,B,A,A,A,A
West High School,7FC66HMG8,9,Semester 1 Final,20,2,3,2,4,6,37,A,D,C,A,B,A
West High School,P1D74ABC1,9,Semester 1 Final,22,11,13,11,11,11,79,A,F,A,C,D,D
West High School,B9B9M6J0I,9,Semester 1 Final,4,2,3,2,1,1,13,A,B,C,D,C,B
West High School,Q53DV8HQ7,9,Semester 1 Final,2,3,2,2,2,3,14,D,C,B,D,D,D
West High School,H8SC4HT12,9,Semester 1 Final,38,20,24,19,20,22,143,D,F,D,D,F,F
West High School,R48WSK26U,9,Semester 1 Final,2,3,1,3,3,5,17,B,A,A,A,B,A
West High School,AS507YM1X,9,Semester 1 Final,17,18,18,18,19,18,108,C,A,B,A,B,B
West High School,MN9TYZ244,9,Semester 1 Final,13,7,1,0,18,0,39,D,D,A,A,A,A
West High School,HO409MGC0,9,Semester 1 Final,4,3,3,3,3,5,21,A,A,A,C,A,B
West High School,70YN7ZCM8,9,Semester 1 Final,3,1,1,1,2,1,9,D,C,A,A,D,A
West High School,4ER0SQI10,9,Semester 1 Final,6,6,8,6,6,8,40,B,A,A,B,A,A
West High School,74E0EEMT1,9,Semester 1 Final,1,5,3,1,2,2,14,,D,B,B,F,
West High School,12HJC5E7T,9,Semester 1 Final,51,30,19,19,18,19,156,A,B,A,C,A,B
West High School,A9BIO8N70,9,Semester 1 Final,0,0,0,0,1,1,2,B,A,D,B,C,B
West High School,FD4W481EG,9,Semester 1 Final,25,19,12,15,22,31,124,B,B,D,F,D,C
West High School,5MZXQN937,9,Semester 1 Final,5,4,3,3,5,7,27,C,B,C,C,D,C
West High School,7V4K2XJA7,9,Semester 1 Final,6,6,5,6,7,12,42,D,C,C,B,D,D
West High School,QHYR67N50,9,Semester 1 Final,8,4,4,4,5,6,31,,,,,,F
West High School,F6ZH6F4S8,9,Semester 1 Final,14,17,17,29,13,13,103,D,B,B,B,B,C
West High School,P6HZ1VM42,9,Semester 1 Final,11,7,5,5,6,6,40,A,D,B,A,B,B
West High School,D7T54G2AI,9,Semester 1 Final,58,28,27,30,41,35,219,F,D,D,F,F,D
West High School,1VC333XES,9,Semester 1 Final,33,10,10,12,12,11,88,C,C,A,D,D,B
West High School,L6VQH5B82,9,Semester 1 Final,45,18,16,15,18,16,128,F,F,D,D,C,D
West High School,072Y0SPIJ,9,Semester 1 Final,13,8,8,7,6,7,49,C,A,A,B,B,B
West High School,B4IGRX891,9,Semester 1 Final,9,7,6,8,7,14,51,A,A,A,F,B,C
West High School,UNH24X62E,9,Semester 1 Final,61,28,27,25,16,16,173,F,D,F,D,B,B
West High School,KOMO3A927,9,Semester 1 Final,25,26,25,24,25,49,174,C,C,B,D,C,D
West High School,DCF88Q0O2,9,Semester 1 Final,5,3,3,2,4,6,23,F,D,D,D,D,F
West High School,2XOX5IT44,9,Semester 1 Final,20,14,12,13,15,15,89,A,A,A,B,A,B
West High School,S71G4PC2J,9,Semester 1 Final,4,4,4,4,6,6,28,A,B,C,C,C,F
West High School,YYX8L3Z72,9,Semester 1 Final,14,8,4,8,2,4,40,D,F,D,B,D,D
West High School,B3361JSYZ,9,Semester 1 Final,8,6,8,7,7,6,42,B,B,C,B,B,B
West High School,G64ZFUM49,9,Semester 1 Final,5,1,0,1,1,0,8,F,B,A,C,B,D
West High School,JVSR1I942,9,Semester 1 Final,1,1,0,0,1,0,3,B,A,B,A,A,C
West High School,DF2PJ1C35,9,Semester 2 Final,11,10,10,10,13,10,64,B,B,B,C,A,B
West High School,8MED60MM6,9,Semester 2 Final,23,8,11,13,14,15,84,A,B,B,C,B,A
West High School,ZCB232N6Q,9,Semester 2 Final,21,9,14,12,9,16,81,A,B,B,B,B,A
